0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,year,half_year,lor,key
03,70,16,58,8445,466,757,249,767,3278,1538,909,481,4255,2002,2022,2,03701658,03701658-2022-2
03,70,16,59,9204,575,822,240,806,3370,1642,956,793,4670,2210,2022,2,03701659,03701659-2022-2
03,70,16,60,12904,755,1231,449,1121,4296,2443,1562,1047,6564,2496,2022,2,03701660,03701660-2022-2
04,10,01,01,11546,632,819,276,1248,3057,1509,1539,2466,5765,3719,2022,2,04100101,04100101-2022-2
04,10,01,02,7804,502,820,232,745,1849,971,1033,1652,4137,2257,2022,2,04100102,04100102-2022-2
04,20,02,03,1528,61,142,73,162,274,177,244,395,795,289,2022,2,04200203,04200203-2022-2
04,20,02,04,3096,177,201,60,209,654,275,346,1174,1665,852,2022,2,04200204,04200204-2022-2
04,20,02,05,2543,79,199,76,230,489,378,448,644,1331,525,2022,2,04200205,04200205-2022-2
04,20,02,06,2904,113,291,105,250,453,399,507,786,1485,439,2022,2,04200206,04200206-2022-2
04,20,02,07,2958,90,268,87,596,528,314,386,689,1493,757,2022,2,04200207,04200207-2022-2
04,20,03,08,6174,262,427,135,681,1369,717,864,1719,3210,1437,2022,2,04200308,04200308-2022-2
04,20,03,09,6843,296,435,129,644,1541,809,979,2010,3651,1034,2022,2,04200309,04200309-2022-2
04,20,03,10,7685,353,555,195,704,1643,953,1038,2244,4082,1597,2022,2,04200310,04200310-2022-2
04,20,03,11,7320,326,459,127,886,2097,801,1071,1553,3767,1855,2022,2,04200311,04200311-2022-2
04,30,04,12,4442,305,252,67,502,1689,382,407,838,2224,1974,2022,2,04300412,04300412-2022-2
04,30,04,13,10010,543,801,272,1120,2710,1336,1443,1785,5260,2490,2022,2,04300413,04300413-2022-2
04,30,04,14,10664,506,711,205,1098,3083,1354,1544,2163,5580,2532,2022,2,04300414,04300414-2022-2
04,30,04,15,6358,285,379,129,576,1631,716,889,1753,3415,1449,2022,2,04300415,04300415-2022-2
04,30,04,16,11868,582,725,242,1322,3486,1417,1760,2334,6063,2997,2022,2,04300416,04300416-2022-2
04,30,05,17,9476,425,531,183,1099,3080,1172,1400,1586,4794,2815,2022,2,04300517,04300517-2022-2
04,30,05,18,5800,292,379,112,625,2027,677,775,913,2916,1556,2022,2,04300518,04300518-2022-2
04,30,06,19,8798,412,525,174,865,2557,1090,1194,1981,4590,2456,2022,2,04300619,04300619-2022-2
04,30,06,20,3631,205,209,65,468,1451,410,439,384,1716,1402,2022,2,04300620,04300620-2022-2
