key,year,half_year,lor,total_population,-6,6-15,15-18,18-27,27-45,45-55,55-65,65+
04501043-2022-2,2022,2,04501043,11018,491,753,244,991,2910,1360,1612,2657
04501044-2022-2,2022,2,04501044,5441,260,371,119,494,1432,607,767,1391
04501045-2022-2,2022,2,04501045,9115,372,519,165,882,2420,1185,1320,2252
04501146-2022-2,2022,2,04501146,4613,283,318,94,519,1385,515,629,870
04501147-2022-2,2022,2,04501147,5488,243,376,137,623,1564,721,807,1017
04501148-2022-2,2022,2,04501148,4545,248,399,122,511,1241,543,603,878
04501149-2022-2,2022,2,04501149,9996,510,705,258,913,2580,1242,1409,2379
04501150-2022-2,2022,2,04501150,3048,125,176,63,266,801,329,433,855
04501151-2022-2,2022,2,04501151,7404,339,528,196,800,2035,926,1037,1543
04501152-2022-2,2022,2,04501152,6840,267,412,125,693,1734,899,966,1744
04501153-2022-2,2022,2,04501153,7410,382,506,164,749,2319,879,969,1442
05100101-2022-2,2022,2,05100101,4348,315,416,91,347,980,484,624,1091
05100102-2022-2,2022,2,05100102,4329,237,251,88,373,903,445,713,1319
05100103-2022-2,2022,2,05100103,6068,579,566,113,594,2040,647,645,884
05100104-2022-2,2022,2,05100104,5790,440,622,177,580,1625,622,608,1116
05100105-2022-2,2022,2,05100105,7659,350,528,186,680,1657,913,1332,2013
05100206-2022-2,2022,2,05100206,3687,207,457,155,370,716,385,457,940
05100207-2022-2,2022,2,05100207,2322,125,134,60,244,487,293,500,479
05100208-2022-2,2022,2,05100208,10902,747,1105,339,1017,2567,1234,1382,2511
05100209-2022-2,2022,2,05100209,11797,731,1238,402,1233,2808,1356,1595,2434
05100210-2022-2,2022,2,05100210,7853,446,631,153,825,2281,991,1132,1394
05100211-2022-2,2022,2,05100211,6167,291,474,187,541,1257,793,1004,1620
05100312-2022-2,2022,2,05100312,4125,238,341,100,532,1184,509,550,671
05100313-2022-2,2022,2,05100313,6341,404,634,212,610,1538,694,676,1573
05100314-2022-2,2022,2,05100314,7450,512,761,239,949,2316,902,899,872
05100315-2022-2,2022,2,05100315,6942,451,596,167,849,2111,841,967,960
05100316-2022-2,2022,2,05100316,10468,646,830,262,1154,3041,1319,1468,1748
05100317-2022-2,2022,2,05100317,3989,302,431,127,441,1179,441,484,584
05200418-2022-2,2022,2,05200418,3913,184,349,133,391,635,590,932,699
05200419-2022-2,2022,2,05200419,1654,55,96,30,128,328,191,319,507
05200420-2022-2,2022,2,05200420,5889,276,457,170,565,1178,707,1063,1473
05200421-2022-2,2022,2,05200421,4405,308,430,127,479,1045,487,541,988
05200422-2022-2,2022,2,05200422,1114,89,103,39,125,319,150,166,123
05200423-2022-2,2022,2,05200423,6666,448,653,200,553,1580,712,852,1668
05200524-2022-2,2022,2,05200524,3433,197,368,134,360,752,492,544,586
05200525-2022-2,2022,2,05200525,2450,143,209,49,165,561,340,374,609
05200526-2022-2,2022,2,05200526,5667,366,765,226,533,1463,666,655,993
05200527-2022-2,2022,2,05200527,11966,972,1727,520,1384,2838,1325,1288,1912
05200528-2022-2,2022,2,05200528,7148,406,504,158,589,1446,735,1161,2149
05200629-2022-2,2022,2,05200629,8456,503,610,171,972,2386,916,1028,1870
05200630-2022-2,2022,2,05200630,9957,542,784,233,1067,2776,1296,1434,1825
05200631-2022-2,2022,2,05200631,8545,467,621,192,895,2553,1047,1260,1510
05200632-2022-2,2022,2,05200632,3738,196,393,141,395,900,494,550,669
05200633-2022-2,2022,2,05200633,2025,109,178,45,151,388,206,297,651
05200634-2022-2,2022,2,05200634,4429,164,217,91,285,682,493,741,1756
05300735-2022-2,2022,2,05300735,3962,480,440,115,621,1406,406,318,176
05300736-2022-2,2022,2,05300736,3619,307,493,156,357,946,522,417,421
05300737-2022-2,2022,2,05300737,11733,722,870,238,1132,3152,1349,1651,2619
05300838-2022-2,2022,2,05300838,32,0,0,0,0,7,7,18,0
05300839-2022-2,2022,2,05300839,7783,418,742,240,853,1981,1064,1070,1415
05300840-2022-2,2022,2,05300840,483,31,37,12,28,143,59,68,105
05300841-2022-2,2022,2,05300841,4644,290,354,103,575,1490,500,593,739
05400942-2022-2,2022,2,05400942,3793,170,294,112,308,602,461,669,1177
05400943-2022-2,2022,2,05400943,10545,632,1267,409,769,1925,1553,1657,2333
05400944-2022-2,2022,2,05400944,2217,99,185,65,144,312,243,354,815
05400945-2022-2,2022,2,05400945,3672,169,349,113,233,516,434,605,1253
06100101-2022-2,2022,2,06100101,6869,271,468,214,638,1372,821,1033,2052
06100102-2022-2,2022,2,06100102,9124,503,700,175,910,2706,1076,1329,1725
06100103-2022-2,2022,2,06100103,6200,338,449,125,601,1751,853,901,1182
06100204-2022-2,2022,2,06100204,6866,327,443,160,764,1754,871,1023,1524
06100205-2022-2,2022,2,06100205,9998,592,738,198,1040,2732,1214,1483,2001
06100206-2022-2,2022,2,06100206,7734,368,541,181,736,1963,948,1118,1879
06100207-2022-2,2022,2,06100207,8124,456,527,177,831,2306,988,1079,1760
06100208-2022-2,2022,2,06100208,6964,365,467,117,717,1970,818,1018,1492
06100209-2022-2,2022,2,06100209,9349,515,674,169,847,2782,1188,1265,1909
06100210-2022-2,2022,2,06100210,4987,260,367,93,420,1416,620,778,1033
06200311-2022-2,2022,2,06200311,4923,238,365,114,402,1005,612,728,1459
06200312-2022-2,2022,2,06200312,6164,308,481,137,607,1352,730,817,1732
06200313-2022-2,2022,2,06200313,7383,410,521,124,709,2023,891,1084,1621
06200314-2022-2,2022,2,06200314,7176,400,529,138,644,1908,895,1088,1574
06200315-2022-2,2022,2,06200315,6687,434,588,157,624,1655,795,925,1509
06200316-2022-2,2022,2,06200316,5417,310,414,134,638,1319,601,696,1305
06200317-2022-2,2022,2,06200317,6357,315,489,176,521,1124,833,1086,1813
06200418-2022-2,2022,2,06200418,0,0,0,0,0,0,0,0,0
06200419-2022-2,2022,2,06200419,4529,241,379,124,444,1171,450,559,1161
06200420-2022-2,2022,2,06200420,7205,390,550,188,606,1527,900,1133,1911
06200421-2022-2,2022,2,06200421,8400,395,656,213,741,1689,1027,1180,2499
06200422-2022-2,2022,2,06200422,7125,346,592,183,719,1404,889,1062,1930
06200423-2022-2,2022,2,06200423,8670,402,838,275,692,1550,1066,1317,2530
06300524-2022-2,2022,2,06300524,5762,239,482,201,552,999,716,861,1712
06300525-2022-2,2022,2,06300525,5746,292,418,120,516,1291,767,905,1437
06300526-2022-2,2022,2,06300526,3370,191,331,97,352,708,453,509,729
06300527-2022-2,2022,2,06300527,8419,401,591,168,814,1875,1032,1356,2182
06300528-2022-2,2022,2,06300528,11019,437,972,361,836,1787,1381,1638,3607
06300629-2022-2,2022,2,06300629,7037,280,506,166,666,1694,884,1088,1753
06300630-2022-2,2022,2,06300630,5643,310,441,177,667,1415,675,811,1147
06300631-2022-2,2022,2,06300631,2989,116,263,78,493,628,398,386,627
06300632-2022-2,2022,2,06300632,14040,756,1487,497,1171,2787,2073,2148,3121
06300633-2022-2,2022,2,06300633,12070,560,1027,322,1107,2613,1532,1911,2998
06300634-2022-2,2022,2,06300634,8489,402,789,278,730,1545,1124,1295,2326
06400735-2022-2,2022,2,06400735,10343,458,1047,341,740,1680,1412,1625,3040
06400736-2022-2,2022,2,06400736,5243,254,566,182,423,799,727,801,1491
06400737-2022-2,2022,2,06400737,11357,470,992,359,1534,2019,1320,1586,3077
06400838-2022-2,2022,2,06400838,7539,337,666,247,567,1068,933,1322,2399
06400839-2022-2,2022,2,06400839,5307,215,482,156,434,833,712,832,1643
06400840-2022-2,2022,2,06400840,7216,289,601,236,680,1118,954,1242,2096
06400841-2022-2,2022,2,06400841,6262,291,509,186,552,1202,648,833,2041
06400842-2022-2,2022,2,06400842,4880,295,614,195,393,987,859,697,840
06400843-2022-2,2022,2,06400843,4751,190,462,179,472,751,647,843,1207
06400844-2022-2,2022,2,06400844,7307,352,681,249,690,1287,983,1031,2034
07100101-2022-2,2022,2,07100101,9904,420,556,171,796,2634,1358,1535,2434
07100102-2022-2,2022,2,07100102,8643,415,599,173,941,2485,1148,1270,1612
07100103-2022-2,2022,2,07100103,7812,417,577,225,859,2291,1100,1100,1243
07100204-2022-2,2022,2,07100204,10446,561,641,235,1011,3166,1347,1596,1889
07100205-2022-2,2022,2,07100205,5250,253,434,180,538,1604,705,672,864
07100206-2022-2,2022,2,07100206,8410,501,570,168,878,2774,1155,1299,1065
