key,year,half_year,lor,total_population,-6,6-15,15-18,18-27,27-45,45-55,55-65,65+
05040937-2018-1,2018,1,05040937,2194,81,182,58,129,276,315,382,771
05040938-2018-1,2018,1,05040938,3669,163,316,116,271,497,524,570,1212
06010101-2018-1,2018,1,06010101,6933,312,488,203,652,1276,1033,938,2031
06010102-2018-1,2018,1,06010102,8836,530,544,198,939,2473,1269,1246,1637
06010103-2018-1,2018,1,06010103,6402,401,435,134,600,1860,998,792,1182
06010204-2018-1,2018,1,06010204,6922,349,482,179,672,1675,1040,938,1587
06010205-2018-1,2018,1,06010205,9785,537,671,187,1019,2623,1448,1328,1972
06010206-2018-1,2018,1,06010206,7754,425,529,139,653,1950,1113,982,1963
06010207-2018-1,2018,1,06010207,7829,395,512,155,780,2100,1130,1045,1712
06010208-2018-1,2018,1,06010208,6720,368,422,121,664,1791,969,948,1437
06010209-2018-1,2018,1,06010209,9176,521,524,158,888,2618,1315,1255,1897
06010210-2018-1,2018,1,06010210,4921,291,305,90,460,1353,717,660,1045
06020301-2018-1,2018,1,06020301,5024,249,330,133,392,1007,753,658,1502
06020302-2018-1,2018,1,06020302,5595,276,376,121,380,1075,794,745,1828
06020303-2018-1,2018,1,06020303,7393,413,460,140,699,2001,1069,997,1614
06020304-2018-1,2018,1,06020304,6999,382,435,134,666,1754,1070,949,1609
06020305-2018-1,2018,1,06020305,11444,607,889,246,1231,2570,1560,1400,2941
06020306-2018-1,2018,1,06020306,6422,312,456,178,514,1105,1063,955,1839
06020407-2018-1,2018,1,06020407,4654,275,393,108,488,1071,562,496,1261
06020408-2018-1,2018,1,06020408,6888,352,513,166,667,1362,1001,915,1912
06020409-2018-1,2018,1,06020409,8310,430,599,210,636,1611,1224,1079,2521
06020410-2018-1,2018,1,06020410,7135,329,562,222,645,1319,1098,1004,1956
06020411-2018-1,2018,1,06020411,8548,418,740,259,639,1475,1257,1263,2497
06030501-2018-1,2018,1,06030501,5775,242,501,184,584,904,882,718,1760
06030502-2018-1,2018,1,06030502,5613,285,376,136,472,1233,894,808,1409
06030503-2018-1,2018,1,06030503,11850,603,870,304,1082,2538,1838,1669,2946
06030504-2018-1,2018,1,06030504,11083,517,952,312,855,1673,1595,1483,3696
06030605-2018-1,2018,1,06030605,7022,307,483,177,693,1617,1093,925,1727
