key,lor,year,month,hour,weekday,ac_category,ac_type,is_car,latitude,longitude,district_LOR3,district_LOR2,district,distance_to_CC
114238-2018-7501133,07501133,2018,6,16,1,seriously_injured,other,False,52.438771739271715,13.387742670349542,075011,0750,07,9.028324693805946
114239-2018-12400723,12400723,2018,7,20,6,seriously_injured,other,False,52.61701005847449,13.316490595652898,124007,1240,12,12.454313561081378
114240-2018-2200208,02200208,2018,5,19,5,light_injured,other,True,52.4974430055995,13.389275621803753,022002,0220,02,2.660969041551001
114251-2018-3400723,03400723,2018,11,15,6,light_injured,other,False,52.569255768294305,13.403575696094126,034007,0340,03,5.575831545194017
114255-2018-3701657,03701657,2018,7,16,3,light_injured,other,False,52.543247560882534,13.426740347945751,037016,0370,03,3.0376522021914676
114256-2018-11300722,11300722,2018,6,17,4,light_injured,other,False,52.513523695762395,13.475804327850431,113007,1130,11,4.802605606007313
114257-2018-6400735,06400735,2018,5,11,2,seriously_injured,turn_in,True,52.419905200695716,13.175128905277617,064007,0640,06,19.168671201552517
114261-2018-4200206,04200206,2018,2,7,3,light_injured,other,True,52.50752135318338,13.242155937018202,042002,0420,04,11.175932203617824
114262-2018-10400941,10400941,2018,7,14,1,light_injured,other,True,52.503851312842265,13.624647702089586,104009,1040,10,14.964608759443216
114263-2018-2400521,02400521,2018,4,18,2,light_injured,turn_in,False,52.51724112053282,13.439012488701207,024005,0240,02,2.273793728481066
114266-2018-9200613,09200613,2018,5,0,2,seriously_injured,other,True,52.454150325740294,13.513120243346874,092006,0920,09,10.277248090089577
114270-2018-10100206,10100206,2018,9,16,5,seriously_injured,other,True,52.56285931901564,13.558260513180576,101002,1010,10,11.438052201439728
114271-2018-3601449,03601449,2018,8,10,3,light_injured,other,False,52.543103195625264,13.440893967087435,036014,0360,03,3.579313300986024
114272-2018-1100102,01100102,2018,6,23,6,light_injured,other,False,52.51480183295244,13.355478767060804,011001,0110,01,3.4412645083928095
114273-2018-12100101,12100101,2018,6,17,6,light_injured,other,True,52.562131471564186,13.364717981673806,121001,1210,12,5.529785976364193
114274-2018-2500833,02500833,2018,8,1,1,light_injured,other,False,52.5110237232679,13.45217787226541,025008,0250,02,3.2849921894447225
114275-2018-2500728,02500728,2018,5,8,4,light_injured,turn_in,False,52.5148767445934,13.463872156438928,025007,0250,02,3.980035772134107
114279-2018-3400620,03400620,2018,9,5,5,light_injured,other,True,52.57112740047008,13.398144801606286,034006,0340,03,5.8047644665757785
114285-2018-3200206,03200206,2018,8,19,5,light_injured,other,False,52.580534025754154,13.401534639486027,032002,0320,03,6.834799425574131
114288-2018-1100102,01100102,2018,8,20,3,seriously_injured,other,False,52.514907380272255,13.355443022935766,011001,0110,01,3.4420265430226116
114289-2018-2400521,02400521,2018,4,8,3,light_injured,turn_in,True,52.51731417520324,13.438295460279113,024005,0240,02,2.2245721100749396
114290-2018-12400723,12400723,2018,4,6,5,light_injured,other,True,52.61314012996364,13.31537723668687,124007,1240,12,12.117738713266512
114293-2018-3601449,03601449,2018,12,7,4,light_injured,other,True,52.541395221240904,13.438884873399415,036014,0360,03,3.3469261683832
114294-2018-1100310,01100310,2018,9,9,5,seriously_injured,other,False,52.51923200586367,13.411963868074048,011003,0110,01,0.4276340701583647
114296-2018-3601347,03601347,2018,6,15,6,light_injured,other,True,52.540650663642374,13.414352956068287,036013,0360,03,2.4625387315317004
114300-2018-3601451,03601451,2018,11,13,3,light_injured,turn_in,True,52.53590515958592,13.43397738875512,036014,0360,03,2.676255782896161
114307-2018-3601139,03601139,2018,5,21,5,light_injured,other,True,52.555042755689925,13.414790916846162,036011,0360,03,4.040168202283438
114308-2018-1100310,01100310,2018,10,16,5,light_injured,other,True,52.52078985985829,13.406551663803734,011003,0110,01,0.1906062323923331
114315-2018-9200613,09200613,2018,6,13,3,light_injured,turn_in,False,52.45489279121049,13.512025714738199,092006,0920,09,10.166239047383389
114316-2018-10100206,10100206,2018,5,14,6,light_injured,other,True,52.56266697551425,13.558111317789557,101002,1010,10,11.41982175561423
114317-2018-3601449,03601449,2018,4,9,5,seriously_injured,turn_in,False,52.54458982919607,13.44263928111733,036014,0360,03,3.781577934190255
114319-2018-12400723,12400723,2018,9,18,7,light_injured,other,True,52.614204976939256,13.316636178910402,124007,1240,12,12.177564184895187
